                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.70777,                 1.2512,                 1.2959,                0.77127,                0.97131,                0.96722,                 0.7397,                0.90769,                 1.5702,                 1.5731,              0.0002265,              0.0002265,              0.0002265
                     88,                0.76116,                 1.4326,                 1.3579,                0.78917,                0.97593,                0.96722,                0.75495,                 0.8797,                 1.5177,                 1.5594,             0.00021235,             0.00021235,             0.00021235
                     89,                0.74227,                  1.333,                 1.3258,                0.78917,                0.97593,                0.96722,                0.75495,                 0.8797,                 1.5177,                 1.5594,              0.0001982,              0.0001982,              0.0001982
                     90,                0.68585,                 1.2541,                 1.3098,                0.78646,                0.97861,                0.96722,                0.75553,                 0.8668,                 1.4529,                 1.5463,             0.00018406,             0.00018406,             0.00018406
                     91,                0.66935,                 1.6192,                 1.3188,                0.78646,                0.97861,                0.96722,                0.75553,                 0.8668,                 1.4529,                 1.5463,             0.00016991,             0.00016991,             0.00016991
                     92,                0.67886,                 1.6265,                 1.3363,                0.78556,                0.96668,                0.96722,                0.75523,                0.84739,                 1.4141,                 1.5427,             0.00015576,             0.00015576,             0.00015576
                     93,                 0.6693,                 1.6733,                 1.3265,                0.78556,                0.96668,                0.96722,                0.75523,                0.84739,                 1.4141,                 1.5427,             0.00014161,             0.00014161,             0.00014161
                     94,                 0.6918,                 1.7024,                 1.4122,                0.76538,                0.83333,                0.88389,                0.68591,                0.82387,                 1.3953,                 1.5364,             0.00012747,             0.00012747,             0.00012747
                     95,                0.60614,                 1.6665,                  1.289,                0.76538,                0.83333,                0.88389,                0.68591,                0.82387,                 1.3953,                 1.5364,             0.00011332,             0.00011332,             0.00011332
                     96,                0.59026,                 1.6197,                 1.2708,                0.84984,                 0.8194,                  0.895,                0.71323,                0.79775,                 1.4058,                 1.5236,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.57517,                 1.5242,                 1.1781,                0.84984,                 0.8194,                  0.895,                0.71323,                0.79775,                 1.4058,                 1.5236,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.58065,                 1.6015,                 1.2531,                0.84381,                0.82768,                0.87833,                0.69947,                0.78024,                 1.4128,                 1.5188,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.54698,                 1.5401,                 1.1915,                0.84381,                0.82768,                0.87833,                0.69947,                0.78024,                 1.4128,                 1.5188,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.59689,                  1.628,                 1.3534,                0.84525,                0.82681,                0.87833,                0.70114,                0.79557,                 1.4163,                 1.5432,             4.2584e-05,             4.2584e-05,             4.2584e-05
